,単位,昭　　和　　14,,昭　　和　　15,,昭　　和　　16,,昭　　和　　17,,昭　　和　　18,,昭　　和　　19,,昭　　和　　20,
,,数　量,金　　額,数　　量,金　　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　量,金　　　額
輸入全計,,●●●,"3,188,390",●●●,"5,147,137",●●●,"8,013,592",●●●,"2,174,566",●●●,"3,067,428",●暑●,"1,398,227",●●●,"938,265"
【輸入計】,,●●●,"3,153,157",●●●,"5,088,665",●●泰,"7,962,019",●●・,"2,096,684",●●●,"3,014,757",●●●,"1,398,227",・●●,"938,265"
米及び籾,百斤,-,-,"72,499","621,612","529,956","4,777,616",-,-,-,-,-,-,-,-
豆類,百斤,"8,543","87,994",983,"19,450",-,-,-,-,-,-,-,-,-,-
その他食料粗生品,,●●●,52,-,-,-,-,-,-,-,-,-,-,丶-,-
その他食料製造品,,●●●,78,-,-,-,一,-,-,-,-,-,-,-,-
玄粟,百kg,-,-,-,-,-,-,-,-,-,-,-,-,"3,461","94,186"
食塩,百斤,"1,097,389","1,944,023","1,170,823","3,430,024","784,790","2,398,652","625,653","1,969,946","708,458","2,194,356","173,320","1,152,078","108,520","602,730"
原油及び重油,口,-,-,"14,053","561,299","11,878","475,209",-,-,-,-,-,-,-,-
燐鉱石,百斤,"204,991","399,025","50,803","182,147","67,736","217,726",一,-,-,-,-,-,-,-
麩,百斤,"7,628","43,086",-,-,-,-,-,-,-,-,-,一,-,-
豆糟,百斤,"12,030","93,613",-,-,-,-,-,-,-,-,"8,942","188,588","10,726","225,933"
その他原料品,,●●●,"452,083",-,-,-,-,-,-,-,-,-,-,-,-
混合飼料,百斤,"2,537","18,693",-,-,-,-,-,-,-,-,-,一,-,-
その他原料用製品,,●●●,"51,568",-,-,-,-,-,-,-,-,-,-,-,-
毛皮,斤,４,25,-,-,-,-,-,-,-,-,-,-,-,-
耐火煉瓦,百斤,"13,988","47,602","13,232","51,761","4,423","21,173","8,477","22,612","1,414","2,920",-,-,-,-
郵便物,,-,-,-,-,-,-,-,-,●●●,"53,970",●●●,"55,031",●●●,"15,333"
その他諸製品,,●●●,"6,014",●●暑,"222,372",●●●,"71,643",,"104,126",●●●,"763,511",●●●,"2,530",●●●,83
その他雑品,,・●●,"9,301",-,-,-,-,-,-,-,-,-,-,-,-
【再輸入・内国産計】,,●●●,"35,233",●●●,"58,472",●●●,"51,573",●●●,"77,882",●●●,"52,671",-,-,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
