,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,既　　　　決　　　　（　　　　受　　　　刑　　　　者　　　　）,,,,,,,,,,,
,,前　年　よ　り,,,入　　　　　監,,,出　　　　　監,,,残　　　　　留,,
,,男,女,計,男,女,計,男,女,計,男,女,計
,明治19,358,14,372,571,29,600,602,31,633,327,12,339
,20,●■●,●●●,■●●,●●●,●●●,・●●,●●●,●●●,●●●,●●凖,●●●,・●●
,21,●●●,●●●,●・痼,●●●,●●●,●●●,●●●,●●暑,●●●,●ａ二,●●二,・●●
,22,259,11,270,446,165,611,469,164,633,236,12,248
,23,●●●,●■●,,●●●,●●●,●●●,●●●,●●●,●●●,■●●,●●●,Ｉ●●
,24,257,16,273,451,301,752,498,309,807,210,８,218
,25,210,８,218,541,444,985,519,428,947,232,24,256
,26,232,24,256,758,167,925,707,176,883,283,15,298
,27,●●●,●●●,●●●,●●●,●●●,・●●,●●●,●●●,●●●,●●●,●●●,●●●
,28,●●●,●●●,●●■,●●●,●●●,●●●,●●φ,●●●,●●●,●●●,●■襴,●●●
,29,●●●,●●●,376,●●●,●●●,"1,972",■●●,●●●,"2,010",311,27,338
,30,3n,27,338,●●●,●帰●,"1,868",●●●,●●●,"1,764",414,28,442
,31,●●●,●●●,,●瑤●,●●●,・●●,●●●,●争●,Ｉ●●,●Ｉ●,●●●,ｉ●●
,32,●夸●,●●●,,●●●,●●●,●●●,,●●●,●●●,●●●,曇●●,・●●
,33,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●畚●,●●●,●●●
,34,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,505,30,535
,35,505,30,535,"2,119",818,"2,937","2,096",819,"2,915",* 433,29,* 462
,36,433,29,462,"2,042","1,289","3,331","1,975","1,280","3,255",500,38,538
,37,500,38,538,"1,526","1,170","2,696","1,634","1,180","2,814",* 372,28,＊400
,38,372,28,400,"1,028",890,"1,918","1,012",892,"1,904",* 390,＊　27,* 417
,39,●●●,●●●,513,●●●,●●●,"1,950",・●●,■●●,"1,398",429,23,* 452
,40,●●●●,●●●,327,●●●,●●●,905,●●●,●●●,920,304,18,* 322
,41,304,18,322,641,-,641,640,-,640,305,18,323
,42,303,13,316,853,366,"1,219",609,352,961,547,27,574
,43,547,27,574,"1,033",390,"1,423",783,378,"1,161",797,39,836
,44,797,39,836,972,203,"1,175","1,021",204,"1,225",748,38,786
,大正１,748,38,786,"1,260",334,"1,594","1,330",331,"1,661",678,41,719
,２,678,41,719,953,274,"1,227","1,005",286,"1,291",626,29,655
,３,626,29,655,675,274,949,753,261,"1,014",548,42,590
,４,548,42,590,922,382,"1,304",907,389,"1,396",563,35,598
,５,563,35,598,804,410,"1,214",745,420,"1,165",622,25,647
,６,662,25,687,817,139,956,717,139,856,722,25,747
,７,722,25,747,"1,011",85,"1,096",976,76,"1,052",757,34,791
,８,●●●,●●●,,●●●,●●●,●●●,●●・,●●・,●●●,789,12,801
,９,●●●,●●二,●●●,●●●,●●●,・●●,●●●,●●●,●●●,●●●,●●●,●●曾
,10,・●●,,,718,58,776,706,61,767,843,17,860
,11,●昜●,●●●,●●●,●●●,●●●,●■●,●●●,●●●,●●●,●●■,●●●,●●●
,12,●●●,●●●,●●●,●●●,●●●,●●●,●●●,襴●●,●●●,●●●,●●●,●●●
,13,●●●,●●昜,・血・,●●●,●●●,●●●,●●●,●●●,●●●,,●●●,●●●
,14,●●●,●●●,●●●,●●●,●●●,●●●,ａ●●,●●●,,260,16,276
,昭和１,二●●,●・●,●■●,●●●,●●●,●●●,●●●,,,259,15,274
,２,●●●,●●●,●●盞,●●●,●●●,●●●,奉●●,●●●,●●●,300,-,300
,３,●●●,●●●,●●●,●●●,●●●,●●Ｉ,●●●,●●●,●●●,●・●,●●●,●●●
,４,ｌ●●,●●●,●●●,●●●,●●●,慘●Ｉ,二●●,●●●,●●●,●●●,●●●,●●●
,５,●●●,●●●,●●●,●●●,●●●,・●血,●●●,,●襴●,3n,-,311
