,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,未　　　決　　　（　　　刑　　　事　　　被　　　告　　　人　　　）,,,,,,,,,,,
,,前　年　よ　り,,,入　　　　　監,,,出　　　　　監,,,残　　　　　留,,
,,男,女,計,男,女,計,男,女,計,男,女,計
,明治19,97,５,102,655,48,703,715,52,767,37,１,38
,20,●●●,昜●●,●●●,●●●,●●●,●●●,●●●,,●●■,●●●,●●●,・贊・
,21,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●・,■●■
,22,26,-,26,522,171,693,513,169,682,35,２,37
,23,●●■,●■■,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
,24,52,５,57,684,308,992,692,304,996,44,９,53
,25,44,９,53,753,433,"1,186",714,436,"1,150",83,６,89
,26,83,６,89,811,235,"1,046",817,233,"1,050",77,８,85
,27,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●４,●畆●
,28,,●■■,●●●,●●●,■●■,●●●,,・●●,●●・,●●●,■●慟,●●●
,29,●●●,●●●,137,●●●,●●●,"2,609",●●●,●●●,"2,633",110,３,113
,30,110,３,113,●●■,●●・,"2,079",●●●,●●●,"2,055",125,12,137
,31,●●●,●●●,●●●,ａ●●,●●●,奉●乖,●●●,●●●,・●●,●●¶,●・●,●●●
,32,●●■,●■●,●●●,●●●,■●●,●●●,●●・,●●●,●●●,●●・,●●襴,●●●
,33,●●●,●●●,●●・,●●●,●●●,儁●●,●●●,●●●,●●●,●●●,●●早,
,34,●●●,●・●,,●●●,●●●,●墻●,●●●,●●●,・●●,152,12,164
,35,152,12,164,"1,552",680,"2,232","1,837",696,"2,533",* 208,＊　７,＊215
,36,208,７,215,"1,829","1,217","3,046","1,868","1,215","3,083",169,９,178
,37,169,９,178,"1,311","1,090","2,401","1,453","1,096","2,549",＊　88,＊　４,＊　92
,38,88,４,92,900,108,"1,008",984,104,"1,088",＊　59,８,＊　67
,39,●●●,●●●,78,●■襴,●●●,"1,129",●●●,●●●,"1,182",50,３,＊　53
,40,・●●,・●●,38,●●●,●●■,633,,●■●,614,57,１,＊　58
,41,57,１,58,648,-,648,644,55,699,61,＊　２,63
,42,61,２,63,"1,038",97,"1,135",943,93,"1,036",156,６,162
,43,156,６,162,"1,026",100,"1,126","1,072",104,"1,176",110,２,112
,44,110,２,112,"1,041",95,"1,136","1,033",72,"1,105",118,25,143
,大正１,28,24,52,"1,111",84,"1,195","1,070",102,"1,172",69,６,75
,２,69,６,75,849,45,894,871,51,922,47,-,47
,３,47,-,47,491,39,530,506,38,544,32,１,33
,４,32,１,33,618,36,654,610,37,647,40,-,40
,５,40,-,40,647,57,704,646,53,699,41,４,45
,６,41,４,45,659,57,716,640,58,698,60,３,63
,７,60,３,63,733,44,777,747,45,792,46,２,48
,８,●●●,●●●,●●●,●●●,●●・,●■僵,・●・,●●●,●●●,124,-,124
,９,●●●,●●●,●●■,●●●,●●●,●●●,●●●,●●●,●●●,・●●,●●●,
,10,■●■,●■●,●●●,646,33,679,659,35,694,48,１,49
,11,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●■●
,12,●瑤●,●●●,●・●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,二●●,●●●
,13,●●●,,●●●,●●●,,●●●,●●●,,●●●,・・●,●●●,昜●●
,14,●争●,●●●,●●・,●●●,●●●,●●●,●●●,●●●,●●●,238,13,251
,昭和１,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●■,●●●,203,５,208
,２,■●●,●■●,●●●,●●●,●●●,●襴●,,●●●,●■●,-,-,-
,３,●●●,●●●,●■慟,●●●,●■●,●●●,・●・,●●■,●・●,●■●,●●●,●●●
,４,・●●,●●●,●●●,●●●,●●●,●●●,●■●,●●●,●●●,●■●,●●●,●●●
,５,●●●,二●二,●●●,,●●●,●●●,●●●,●●●,●●●,-,-,-
